"id","name","description"
"incoterm_02071399","02071399","Svježi ili rashlađeni ostali klaonički proizvodi, kokoši vrste ""Gallus domesticus"" (osim jetre)"
"incoterm_02071410","02071410","Smrznuto meso, kokoši vrste ""Gallus domesticus"", isječeno na komade, bez kostiju"
"incoterm_02071420","02071420","Smrznute polovice ili četvrtine, s kostima, kokoši vrste ""Gallus domesticus"""
"incoterm_02071430","02071430","Smrznuta cijela krila, sa ili bez vrhova, s kostima, kokoši vrste ""Gallus domesticus"""
"incoterm_02071440","02071440","Smrznuti hrptovi, vratovi, hrptovi s vratovima, zabaci i vrhovi krila, s kostima, kokoši vrste ""Gallus domesticus"""
"incoterm_02071450","02071450","Smrznuta prsa i komadi od njih, kokoši vrste ""Gallus domesticus"", s kostima"
"incoterm_02071460","02071460","Smrznute noge i komadi od njih, s kostima, kokoši vrste Gallus domesticus, "
"incoterm_02071470","02071470","Smrznuti komadi mesa, kokoši vrste ""Gallus domesticus"", s kostima (osim polovica i četvrtina, cijelih krila, sa ili bez vrhova, hrptova, vratova, hrptova s vratovima, zabataka i vrhova krila, prsa, nogu i komada od njih)"
"incoterm_02071491","02071491","Smrznuta jetra, kokoši vrste ""Gallus domesticus"""
"incoterm_02071499","02071499","Smrznuti ostali klaonički proizvodi, kokoši vrste ""Gallus domesticus"" (osim jetre)"
"incoterm_02072410","02072410","Svježa ili rashlađena puretina, očišćena od perja i utrobe, bez glave i nogu, ali s vratovima, srcima, jetrom i želucima, poznata kao ""80% pure"""
"incoterm_02072490","02072490","Svježa ili rashlađena puretina, očišćena od perja i utrobe, bez glave, nogu, vratova, srca, jetre i želudaca, poznata kao ""73% pure"", i ostali oblici svježe ili rashlađene puretine, neisječene na komade (osim ""80% pure"")"
"incoterm_02072510","02072510","Smrznuta puretina, očišćena od perja i utrobe, bez glave i nogu, ali s vratovima, srcima, jetrom i želucima, poznata kao ""80% pure"""
"incoterm_02072590","02072590","Smrznuta puretina, očišćena od perja i utrobe bez glave, nogu, vratova, srca, jetre i želudaca, poznata kao ""73% pure"", i ostali oblici svježe ili rashlađene puretine, neisječene na komade (osim ""80% pure"")"
"incoterm_02072610","02072610","Svježe ili rashlađeno meso od pura, bez kostiju, isječeno na komade i klaonički proizvodi"
"incoterm_02072620","02072620","Svježe ili rashlađene polovice i četvrtine puretine, s kostima"
"incoterm_02072630","02072630","Svježa ili rashlađena pureća cijela krila, sa ili bez vrhova, s kostima"
"incoterm_02072640","02072640","Svježi ili rashlađeni pureći hrptovi, vratovi, hrptovi s vratovima, zabaci i vrhovi krila, s kostima"
"incoterm_02072650","02072650","Svježa ili rashlađena pureća prsa i komadi od njih, s kostima"
"incoterm_02072660","02072660","Svježi ili rashlađeni pureći bataci i komadi od bataka, s kostima"
"incoterm_02072670","02072670","Svježe ili rashlađene pureće noge i komadi od njih, s kostima (osim bataka i komada od bataka)"
"incoterm_02072680","02072680","Svježe ili rashlađeno pureće meso, s kostima (osim polovica i četvrtina, cijelih krila, sa ili bez vrhova, hrptova, vratova, hrptova s vratovima, zabataka i vrhova krila, prsa, nogu i njihovih dijelova)"
"incoterm_02072691","02072691","Svježa ili rashlađena pureća jetra "
"incoterm_02072699","02072699","Svježi ili rashlađeni pureći klaonički proizvodi (osim jetre)"
"incoterm_02072710","02072710","Smrznuto pureće meso, isječeno na komade, bez kostiju"
"incoterm_02072720","02072720","Smrznute pureće polovice i četvrtine, s kostima"
"incoterm_02072730","02072730","Smrznuta pureća cijela krila, sa ili bez vrhova, s kostima"
"incoterm_02072740","02072740","Smrznuti pureći hrptovi, vratovi, hrptovi s vratovima, zabaci i vrhovi krila, s kostima"
"incoterm_02072750","02072750","Smrznuta pureća prsa i komadi od njih, s kostima"
"incoterm_02072760","02072760","Smrznuti pureći bataci i komadi od njih, s kostima"
"incoterm_02072770","02072770","Smrznute pureće noge i komadi od njih, s kostima (osim bataka i komada od njih)"
"incoterm_02072780","02072780","Smrznuto pureće meso, s kostima (osim polovica i četvrtina, cijelih krila, sa ili bez vrhova, hrptova, vratova, hrptova s vratovima, zabataka i vrhova krila, prsa, nogu i njihovih dijelova)"
"incoterm_02072791","02072791","Smrznuta pureća jetra"
"incoterm_02072799","02072799","Smrznuti pureći klaonički proizvodi (osim jetre)"
"incoterm_02074120","02074120","Meso pataka, neizrezano na komade, svježe ili rashlađeno, očišćeno od perja, iskrvavljeno, bez crijeva ali neočišćeno, s glavama i nogama, poznato kao ""85% patke"""
"incoterm_02074130","02074130","Meso pataka, neizrezano na komade, svježe ili rashlađeno, očišćeno od perja i unutrašnjih organa, bez glava i nogu ali s vratovima, srcima, jetrima i želucima, poznato kao ""75% patke"""
"incoterm_02074180","02074180","Meso pataka, neizrezano na komade, svježe ili rashlađeno, očišćeno od perja i unutrašnjih organa, bez glava i nogu i bez vratova, srca, jetara i želudaca, poznato kao ""63% patke"", ili drukčije podneseno"
"incoterm_02074230","02074230","Meso pataka, neizrezano na komade, smrznuto, očišćeno od perja i unutrašnjih organa, bez glava i nogu, ali s vratovima, srcima, jetrima i želucima, poznato kao ""70% patke"""
"incoterm_02074280","02074280","Meso pataka, neizrezano na komade, smrznuto, očišćeno od perja i unutrašnjih organa, bez glava i nogu i bez vratova, srca, jetara i želudaca, poznato kao ""63% patke"", ili drukčije podneseno"
"incoterm_02074300","02074300","Masna jetra, svježa ili rashlađena, od pataka"
"incoterm_02074410","02074410","Meso pataka, ostalo, svježe ili rashlađeno, u komadima, bez kostiju"
"incoterm_02074421","02074421","Svježe ili rashlađene polovice ili četvrtine, u komadima, s kostima, od pataka"
"incoterm_02074431","02074431","Svježa ili rashlađena cijela krila, sa ili bez vrhova, u komadima, s kostima, od pataka"
"incoterm_02074441","02074441","Svježi ili rashlađeni hrptovi, vratovi, hrptovi s vratovima, bataci i vrhovi krila, u komadima, s kostima, od pataka"
"incoterm_02074451","02074451","Svježa ili rashlađena prsa i komadi od njih, u komadima, s kostima, od pataka"
"incoterm_02074461","02074461","Svježe ili rashlađene noge i komadi od njih, u komadima, s kostima, od pataka"
"incoterm_02074471","02074471","Svježi ili rashlađeni paltoi, u komadima, s kostima, od pataka"
"incoterm_02074481","02074481","Svježi ili rashlađeni komadi s kostima, ostali, od pataka"
"incoterm_02074491","02074491","Svježa ili rashlađena jetra, osim masnih jetara, od pataka"
"incoterm_02074499","02074499","Svježi ili rashlađeni ostali klaonički proizvodi, osim jetra, od pataka"
"incoterm_02074510","02074510","Meso pataka, ostalo, smrznuto, u komadima, bez kostiju"
"incoterm_02074521","02074521","Smrznute polovice ili četvrtine, u komadima, s kostima, od pataka"
"incoterm_02074531","02074531","Smrznuta cijela krila, sa ili bez vrhova, u komadima, s kostima, od pataka"
"incoterm_02074541","02074541","Smrznuti hrptovi, vratovi, hrptovi s vratovima, bataci i vrhovi krila, u komadima, s kostima, od pataka"
"incoterm_02074551","02074551","Smrznuta prsa i komadi od njih, u komadima, s kostima, od pataka"
"incoterm_02074561","02074561","Smrznute noge i komadi od njih, u komadima, s kostima, od pataka"
"incoterm_02074571","02074571","Smrznuti paltoi, u komadima, s kostima, od pataka"
"incoterm_02074581","02074581","Smrznuti komadi s kostima, ostali, od pataka"
"incoterm_02074593","02074593","Smrznuta masna jetra, od pataka"
"incoterm_02074595","02074595","Smrznuta jetra, od pataka, osim masne jetre"
"incoterm_02074599","02074599","Smrznuti ostali klaonički proizvodi, osim jetra, od pataka"
"incoterm_02075110","02075110","Meso gusaka, neizrezano na komade, svježe ili rashlađeno, očišćeno od perja, iskrvavljeno, neočišćeno, s glavama i nogama, poznato kao ""82% guske"""
"incoterm_02075190","02075190","Meso gusaka, neizrezano na komade, svježe ili rashlađeno, očišćeno od perja i unutrašnjih organa, bez glava i nogu, sa ili bez srca i želudaca, poznato kao ""75% guske"", ili drukčije podneseno"
"incoterm_02075210","02075210","Meso gusaka, neizrezano na komade, smrznuto, očišćeno od perja, iskrvavljeno, neočišćeno od unutrašnjih organa, s glavama i nogama, poznato kao ""82% guske"""
"incoterm_02075290","02075290","Meso gusaka, neizrezano na komade, smrznuto, očišćeno od perja i unutrašnjih organa, bez glava i nogu, sa ili bez srca i želudaca, poznato kao ""75% guske"", ili drukčije podneseno"
"incoterm_02075300","02075300","Masna jetra, svježa ili rashlađena, od gusaka"
"incoterm_02075410","02075410","Meso gusaka, ostalo, svježe ili rashlađeno, u komadima, bez kostiju"
"incoterm_02075421","02075421","Svježe ili rashlađene polovice ili četvrtine, u komadima, s kostima, od gusaka"
"incoterm_02075431","02075431","Svježa ili rashlađena cijela krila, sa ili bez vrhova, u komadima, s kostima, od gusaka"
"incoterm_02075441","02075441","Svježi ili rashlađeni hrptovi, vratovi, hrptovi s vratovima, bataci i vrhovi krila, u komadima, s kostima, od gusaka"
"incoterm_02075451","02075451","Svježa ili rashlađena prsa i komadi od njih, u komadima, s kostima, od gusaka"
"incoterm_02075461","02075461","Svježe ili rashlađene noge i komadi od njih, u komadima, s kostima, od gusaka"
"incoterm_02075471","02075471","Svježi ili rashlađeni paltoi, u komadima, s kostima, od gusaka"
"incoterm_02075481","02075481","Svježi ili rashlađeni komadi s kostima, ostali, od gusaka"
"incoterm_02075491","02075491","Svježa ili rashlađena jetra, osim masnih jetara, od gusaka"
